Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-15.053409	-15.053409
1	0.950747	150000	-14.842114	-29.895523
2	0.926679	150000	-14.626864	-44.522387
3	0.902980	150000	-14.371236	-58.893623
4	0.879648	150000	-14.143945	-73.037568
5	0.856682	150000	-13.970570	-87.008137
6	0.834079	150000	-13.771858	-100.779996
7	0.811838	150000	-13.508923	-114.288919
8	0.789957	150000	-13.336445	-127.625364
9	0.768433	150000	-13.143538	-140.768903
10	0.747266	150000	-12.867687	-153.636590
11	0.726452	150000	-12.757675	-166.394265
12	0.705989	150000	-12.539206	-178.933472
13	0.685877	150000	-12.275779	-191.209251
14	0.666112	150000	-12.080986	-203.290236
15	0.646693	150000	-11.845808	-215.136044
16	0.627618	150000	-11.713187	-226.849232
17	0.608884	150000	-11.466158	-238.315390
18	0.590490	150000	-11.435059	-249.750449
19	0.572433	150000	-11.074362	-260.824811
20	0.554712	150000	-10.950722	-271.775533
21	0.537324	150000	-10.648289	-282.423822
22	0.520268	150000	-10.628070	-293.051892
23	0.503540	150000	-10.333752	-303.385644
24	0.487139	150000	-10.173786	-313.559430
25	0.471063	150000	-9.991905	-323.551334
26	0.455310	150000	-9.834808	-333.386142
27	0.439877	150000	-9.863685	-343.249827
28	0.424762	150000	-9.687009	-352.936836
29	0.409963	150000	-9.485816	-362.422652
30	0.395478	150000	-9.340867	-371.763519
31	0.381305	150000	-8.812212	-380.575731
32	0.367440	150000	-8.737703	-389.313434
33	0.353883	150000	-8.719446	-398.032880
34	0.340630	150000	-8.419539	-406.452419
35	0.327680	150000	-8.368147	-414.820566
36	0.315030	150000	-8.178747	-422.999313
37	0.302677	150000	-7.984845	-430.984158
38	0.290619	150000	-7.824213	-438.808371
39	0.278855	150000	-7.654241	-446.462612
40	0.267381	150000	-7.511474	-453.974086
41	0.256195	150000	-7.322772	-461.296857
42	0.245294	150000	-7.194236	-468.491093
43	0.234677	150000	-6.954707	-475.445800
44	0.224340	150000	-6.796771	-482.242571
45	0.214281	150000	-6.629847	-488.872418
46	0.204498	150000	-6.332275	-495.204693
47	0.194988	150000	-6.264611	-501.469304
48	0.185749	150000	-6.146662	-507.615966
49	0.176777	150000	-5.963669	-513.579635
50	0.168070	150000	-5.817855	-519.397491
51	0.159626	150000	-5.675134	-525.072625
52	0.151441	150000	-5.474422	-530.547047
53	0.143514	150000	-5.499875	-536.046922
54	0.135841	150000	-5.258554	-541.305476
55	0.128420	150000	-5.063070	-546.368547
56	0.121247	150000	-5.095347	-551.463894
57	0.114320	150000	-4.947452	-556.411346
58	0.107637	150000	-4.771118	-561.182464
59	0.101193	150000	-4.684912	-565.867376
60	0.094986	150000	-4.309913	-570.177289
61	0.089014	150000	-4.296993	-574.474281
62	0.083273	150000	-4.067494	-578.541775
63	0.077760	150000	-4.219049	-582.760824
64	0.072472	150000	-3.850723	-586.611547
65	0.067406	150000	-3.950762	-590.562308
66	0.062558	150000	-3.731679	-594.293988
67	0.057926	150000	-3.521898	-597.815885
68	0.053506	150000	-3.512996	-601.328881
69	0.049295	150000	-3.314756	-604.643637
70	0.045289	150000	-3.242778	-607.886415
71	0.041485	150000	-3.103875	-610.990290
72	0.037880	150000	-2.962643	-613.952934
73	0.034469	150000	-2.846707	-616.799641
74	0.031250	150000	-2.715640	-619.515280
75	0.028218	150000	-2.576263	-622.091543
76	0.025370	150000	-2.431508	-624.523051
77	0.022702	150000	-2.366260	-626.889311
78	0.020209	150000	-2.206499	-629.095810
79	0.017889	150000	-2.119455	-631.215265
80	0.015736	150000	-2.001905	-633.217170
81	0.013746	150000	-1.950312	-635.167481
82	0.011916	150000	-1.773080	-636.940562
83	0.010240	150000	-1.741315	-638.681877
84	0.008714	150000	-1.651399	-640.333276
85	0.007334	150000	-1.462188	-641.795464
86	0.006093	150000	-1.486844	-643.282309
87	0.004988	150000	-1.357681	-644.639990
88	0.004013	150000	-1.364313	-646.004303
89	0.003162	150000	-1.173292	-647.177594
90	0.002430	150000	-1.110378	-648.287972
91	0.001810	150000	-0.975531	-649.263503
92	0.001296	150000	-0.849311	-650.112814
93	0.000882	150000	-0.741080	-650.853894
94	0.000559	150000	-0.582802	-651.436696
95	0.000320	150000	-0.483995	-651.920691
96	0.000156	150000	-0.358628	-652.279319
97	0.000057	150000	-0.221622	-652.500942
98	0.000010	150000	-0.109856	-652.610798
99	0.000000	150000	-0.023214	-652.634012
Log marginal likelihood:	-652.634012
