Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-18.704184	-18.704184
1	0.950747	7500	-18.378439	-37.082622
2	0.926679	7500	-18.080339	-55.162961
3	0.902980	7500	-17.762931	-72.925892
4	0.879648	7500	-17.461436	-90.387328
5	0.856682	7500	-17.164781	-107.552109
6	0.834079	7500	-16.915150	-124.467259
7	0.811838	7500	-16.640437	-141.107696
8	0.789957	7500	-16.403433	-157.511129
9	0.768433	7500	-16.145678	-173.656807
10	0.747266	7500	-15.892146	-189.548953
11	0.726452	7500	-15.576872	-205.125825
12	0.705989	7500	-15.360164	-220.485989
13	0.685877	7500	-15.088943	-235.574932
14	0.666112	7500	-14.860159	-250.435092
15	0.646693	7500	-14.601814	-265.036906
16	0.627618	7500	-14.381887	-279.418793
17	0.608884	7500	-14.110148	-293.528942
18	0.590490	7500	-13.852543	-307.381485
19	0.572433	7500	-13.589872	-320.971356
20	0.554712	7500	-13.403764	-334.375120
21	0.537324	7500	-13.079401	-347.454521
22	0.520268	7500	-12.847847	-360.302368
23	0.503540	7500	-12.610494	-372.912862
24	0.487139	7500	-12.390288	-385.303150
25	0.471063	7500	-12.172158	-397.475308
26	0.455310	7500	-11.951861	-409.427169
27	0.439877	7500	-11.637281	-421.064450
28	0.424762	7500	-11.475969	-432.540419
29	0.409963	7500	-11.361287	-443.901706
30	0.395478	7500	-11.057087	-454.958793
31	0.381305	7500	-10.908673	-465.867466
32	0.367440	7500	-10.805605	-476.673072
33	0.353883	7500	-10.483174	-487.156245
34	0.340630	7500	-10.218535	-497.374780
35	0.327680	7500	-10.050217	-507.424998
36	0.315030	7500	-9.865729	-517.290727
37	0.302677	7500	-9.567910	-526.858637
38	0.290619	7500	-9.227120	-536.085757
39	0.278855	7500	-9.226897	-545.312654
40	0.267381	7500	-8.965748	-554.278403
41	0.256195	7500	-8.714922	-562.993324
42	0.245294	7500	-8.589470	-571.582795
43	0.234677	7500	-8.315279	-579.898073
44	0.224340	7500	-8.106726	-588.004799
45	0.214281	7500	-7.850970	-595.855769
46	0.204498	7500	-7.612721	-603.468490
47	0.194988	7500	-7.404667	-610.873157
48	0.185749	7500	-7.227842	-618.100999
49	0.176777	7500	-7.085639	-625.186637
50	0.168070	7500	-6.807111	-631.993749
51	0.159626	7500	-6.621304	-638.615052
52	0.151441	7500	-6.542515	-645.157567
53	0.143514	7500	-6.558054	-651.715621
54	0.135841	7500	-6.528849	-658.244471
55	0.128420	7500	-6.136839	-664.381310
56	0.121247	7500	-5.315136	-669.696445
57	0.114320	7500	-5.369676	-675.066121
58	0.107637	7500	-5.150439	-680.216560
59	0.101193	7500	-5.116817	-685.333376
60	0.094986	7500	-5.012510	-690.345886
61	0.089014	7500	-4.622697	-694.968583
62	0.083273	7500	-4.532356	-699.500939
63	0.077760	7500	-4.343783	-703.844722
64	0.072472	7500	-4.166315	-708.011037
65	0.067406	7500	-4.101770	-712.112807
66	0.062558	7500	-3.865424	-715.978231
67	0.057926	7500	-3.705060	-719.683291
68	0.053506	7500	-3.535210	-723.218501
69	0.049295	7500	-3.387688	-726.606189
70	0.045289	7500	-3.212378	-729.818567
71	0.041485	7500	-3.198294	-733.016860
72	0.037880	7500	-3.090858	-736.107718
73	0.034469	7500	-2.954560	-739.062278
74	0.031250	7500	-2.605237	-741.667516
75	0.028218	7500	-2.434491	-744.102007
76	0.025370	7500	-2.366705	-746.468712
77	0.022702	7500	-2.324676	-748.793388
78	0.020209	7500	-2.229231	-751.022619
79	0.017889	7500	-2.120842	-753.143460
80	0.015736	7500	-1.989404	-755.132864
81	0.013746	7500	-1.881264	-757.014129
82	0.011916	7500	-1.957935	-758.972064
83	0.010240	7500	-1.795301	-760.767365
84	0.008714	7500	-1.508489	-762.275855
85	0.007334	7500	-1.826906	-764.102760
86	0.006093	7500	-1.429937	-765.532697
87	0.004988	7500	-1.442034	-766.974731
88	0.004013	7500	-1.491233	-768.465964
89	0.003162	7500	-1.282061	-769.748025
90	0.002430	7500	-1.221181	-770.969206
91	0.001810	7500	-1.195998	-772.165204
92	0.001296	7500	-0.889315	-773.054519
93	0.000882	7500	-0.925504	-773.980023
94	0.000559	7500	-0.796953	-774.776976
95	0.000320	7500	-0.603910	-775.380886
96	0.000156	7500	-0.462740	-775.843625
97	0.000057	7500	-0.234170	-776.077796
98	0.000010	7500	-0.173522	-776.251317
99	0.000000	7500	-0.023039	-776.274357
Log marginal likelihood:	-776.274357
