Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-15.564164	-15.564164
1	0.950747	150000	-15.277795	-30.841959
2	0.926679	150000	-15.069614	-45.911573
3	0.902980	150000	-15.027562	-60.939135
4	0.879648	150000	-14.755501	-75.694636
5	0.856682	150000	-14.472304	-90.166939
6	0.834079	150000	-14.085871	-104.252810
7	0.811838	150000	-13.825264	-118.078074
8	0.789957	150000	-13.636627	-131.714701
9	0.768433	150000	-13.464681	-145.179382
10	0.747266	150000	-13.102113	-158.281495
11	0.726452	150000	-12.998013	-171.279509
12	0.705989	150000	-12.795888	-184.075397
13	0.685877	150000	-12.579264	-196.654661
14	0.666112	150000	-12.368670	-209.023330
15	0.646693	150000	-12.198762	-221.222092
16	0.627618	150000	-11.964206	-233.186298
17	0.608884	150000	-11.689367	-244.875665
18	0.590490	150000	-11.583589	-256.459254
19	0.572433	150000	-11.370635	-267.829889
20	0.554712	150000	-11.099867	-278.929755
21	0.537324	150000	-10.949217	-289.878973
22	0.520268	150000	-10.736442	-300.615415
23	0.503540	150000	-10.595683	-311.211098
24	0.487139	150000	-10.356607	-321.567706
25	0.471063	150000	-10.125075	-331.692781
26	0.455310	150000	-9.959938	-341.652719
27	0.439877	150000	-10.036301	-351.689020
28	0.424762	150000	-9.819925	-361.508945
29	0.409963	150000	-9.466042	-370.974987
30	0.395478	150000	-9.196060	-380.171047
31	0.381305	150000	-9.083235	-389.254282
32	0.367440	150000	-9.021773	-398.276055
33	0.353883	150000	-8.895837	-407.171891
34	0.340630	150000	-8.682410	-415.854302
35	0.327680	150000	-8.529790	-424.384092
36	0.315030	150000	-8.377827	-432.761919
37	0.302677	150000	-8.157854	-440.919773
38	0.290619	150000	-8.072912	-448.992684
39	0.278855	150000	-7.799920	-456.792604
40	0.267381	150000	-7.577781	-464.370385
41	0.256195	150000	-7.609174	-471.979560
42	0.245294	150000	-7.200329	-479.179889
43	0.234677	150000	-7.285552	-486.465442
44	0.224340	150000	-7.069232	-493.534674
45	0.214281	150000	-6.892590	-500.427264
46	0.204498	150000	-6.725204	-507.152468
47	0.194988	150000	-6.488714	-513.641182
48	0.185749	150000	-6.299779	-519.940961
49	0.176777	150000	-6.186029	-526.126990
50	0.168070	150000	-6.029976	-532.156966
51	0.159626	150000	-6.059744	-538.216710
52	0.151441	150000	-5.869779	-544.086490
53	0.143514	150000	-5.622757	-549.709247
54	0.135841	150000	-5.646671	-555.355918
55	0.128420	150000	-5.458481	-560.814399
56	0.121247	150000	-5.356128	-566.170527
57	0.114320	150000	-5.076145	-571.246672
58	0.107637	150000	-5.140200	-576.386873
59	0.101193	150000	-4.846797	-581.233669
60	0.094986	150000	-4.734775	-585.968444
61	0.089014	150000	-4.599032	-590.567477
62	0.083273	150000	-4.400799	-594.968276
63	0.077760	150000	-4.340579	-599.308855
64	0.072472	150000	-4.162087	-603.470942
65	0.067406	150000	-3.939351	-607.410293
66	0.062558	150000	-3.846357	-611.256649
67	0.057926	150000	-3.682835	-614.939485
68	0.053506	150000	-3.473488	-618.412973
69	0.049295	150000	-3.377229	-621.790201
70	0.045289	150000	-3.183570	-624.973771
71	0.041485	150000	-3.054725	-628.028496
72	0.037880	150000	-2.910562	-630.939058
73	0.034469	150000	-2.775509	-633.714567
74	0.031250	150000	-2.681414	-636.395981
75	0.028218	150000	-2.540540	-638.936521
76	0.025370	150000	-2.404310	-641.340831
77	0.022702	150000	-2.231278	-643.572109
78	0.020209	150000	-2.129860	-645.701969
79	0.017889	150000	-2.004250	-647.706219
80	0.015736	150000	-1.879606	-649.585824
81	0.013746	150000	-1.765736	-651.351560
82	0.011916	150000	-1.650620	-653.002180
83	0.010240	150000	-1.539018	-654.541199
84	0.008714	150000	-1.401675	-655.942874
85	0.007334	150000	-1.350524	-657.293398
86	0.006093	150000	-1.232375	-658.525773
87	0.004988	150000	-1.142269	-659.668042
88	0.004013	150000	-1.105752	-660.773794
89	0.003162	150000	-1.043472	-661.817266
90	0.002430	150000	-1.072004	-662.889270
91	0.001810	150000	-0.815624	-663.704894
92	0.001296	150000	-0.850885	-664.555779
93	0.000882	150000	-0.681259	-665.237038
94	0.000559	150000	-0.514032	-665.751069
95	0.000320	150000	-0.391325	-666.142395
96	0.000156	150000	-0.286992	-666.429387
97	0.000057	150000	-0.165701	-666.595088
98	0.000010	150000	-0.092760	-666.687848
99	0.000000	150000	-0.019927	-666.707775
Log marginal likelihood:	-666.707775
